# DRAFT emoji-data.txt
# For details about the format and other information, see index.html#Data_Files.
#
# Format
# Code ;  Default Style ; Ordering ;  Annotations ; Sources # Version Char Name
#
U+263A ;  text ;  0 ; face, human, outlined, relaxed, smile, smiley, smiling ;  jw  # V1.1 (☺) white smiling face
U+2639 ;  text ;  1 ; face, frowning, human ; w   # V1.1 (☹) white frowning face
U+263B ;  text ;  2 ; face, human, smile, smiley, smiling ; x   # V1.1 (☻) black smiling face
U+1F641 ; emoji ; 3 ; face, frowning, human ; x   # V7.0 (🙁) slightly frowning face
U+1F642 ; emoji ; 4 ; face, human, smile, smiley, smiling ; x   # V7.0 (🙂) slightly smiling face
U+1F600 ; emoji ; 5 ; face, grin, grinning, human ; x   # V6.1 (😀) grinning face
U+1F601 ; emoji ; 6 ; eye, face, grin, grinning, human, smile, smiley, smiling ;  j   # V6.0 (😁) grinning face with smiling eyes
U+1F602 ; emoji ; 7 ; face, human, joy, tears ; j   # V6.0 (😂) face with tears of joy
U+1F603 ; emoji ; 8 ; face, human, mouth, open, smile, smiley, smiling ;  j   # V6.0 (😃) smiling face with open mouth
U+1F604 ; emoji ; 9 ; eye, face, human, mouth, open, smile, smiley, smiling ; j   # V6.0 (😄) smiling face with open mouth and smiling eyes
U+1F605 ; emoji ; 10 ;  cold, face, human, open, smile, smiley, smiling, sweat ;  j   # V6.0 (😅) smiling face with open mouth and cold sweat
U+1F606 ; emoji ; 11 ;  face, human, laughing, mouth, open, satisfied, smile, smiley, smiling ; j   # V6.0 (😆) smiling face with open mouth and tightly-closed eyes
U+1F609 ; emoji ; 12 ;  face, human, wink ; j   # V6.0 (😉) winking face
U+1F60A ; emoji ; 13 ;  blush, eye, face, human, smile, smiley, smiling ; j   # V6.0 (😊) smiling face with smiling eyes
U+1F60B ; emoji ; 14 ;  delicious, face, food, human, savouring, smile, smiley, smiling, um, yum ;  j   # V6.0 (😋) face savouring delicious food
U+1F60C ; emoji ; 15 ;  face, human, relieved ; j   # V6.0 (😌) relieved face
U+1F60D ; emoji ; 16 ;  eye, face, heart, human, love, smile, smiley, smiling ; j   # V6.0 (😍) smiling face with heart-shaped eyes
U+1F60E ; emoji ; 17 ;  bright, cool, eye, face, glasses, human, smile, smiley, smiling, sun, sunglasses, weather ; x   # V6.0 (😎) smiling face with sunglasses
U+1F60F ; emoji ; 18 ;  face, human, smirk, smirking ;  j   # V6.0 (😏) smirking face
U+1F610 ; emoji ; 19 ;  deadpan, face, human, neutral ; w   # V6.0 (😐) neutral face
U+1F611 ; emoji ; 20 ;  expressionless, face, human, inexpressive, unexpressive ; x   # V6.1 (😑) expressionless face
U+1F612 ; emoji ; 21 ;  face, human, unamused, unhappy ;  j   # V6.0 (😒) unamused face
U+1F613 ; emoji ; 22 ;  cold, face, human, sweat ;  j   # V6.0 (😓) face with cold sweat
U+1F614 ; emoji ; 23 ;  dejected, face, human, pensive ;  j   # V6.0 (😔) pensive face
U+1F615 ; emoji ; 24 ;  confused, face, human ; x   # V6.1 (😕) confused face
U+1F616 ; emoji ; 25 ;  confounded, face, human ; j   # V6.0 (😖) confounded face
U+1F617 ; emoji ; 26 ;  face, human, kiss, kissing ;  x   # V6.1 (😗) kissing face
U+1F618 ; emoji ; 27 ;  face, heart, human, kiss ;  j   # V6.0 (😘) face throwing a kiss
U+1F619 ; emoji ; 28 ;  eye, face, human, kiss, smile, smiley, smiling ;  x   # V6.1 (😙) kissing face with smiling eyes
U+1F61A ; emoji ; 29 ;  closed, eye, face, human, kiss ;  j   # V6.0 (😚) kissing face with closed eyes
U+1F61B ; emoji ; 30 ;  face, human, stuck-out, tongue ;  x   # V6.1 (😛) face with stuck-out tongue
